stp_name,boroughs,start_date,end_date,dose,age_band,vaccines,population,percent_vaccine
Our Healthier South East London,"Bexley, Bromley, Greenwich, Lambeth, Lewisham, Southwark",2020-12-08,2021-03-07,2nd dose,70-74,1004,54280,0.018496683861459102
South West London Health and Care Partnership,"Croydon, Kingston upon Thames, Merton, Richmond upon Thames, Sutton, Wandsworth",2020-12-08,2021-03-07,2nd dose,70-74,600,51514,0.011647319175369802
East London Health and Care Partnership,"Barking and Dagenham, Hackney and City of London, Havering, Newham, Redbridge, Tower Hamlets, Waltham Forest",2020-12-08,2021-03-07,2nd dose,75-79,507,36008,0.014080204399022439
North London Partners in Health and Care,"Barnet, Camden, Enfield, Haringey, Islington",2020-12-08,2021-03-07,2nd dose,75-79,1170,33389,0.0350414807271856
North West London Health and Care Partnership,"Brent, Ealing, Hammersmith and Fulham, Harrow, Hillingdon, Hounslow, Kensington and Chelsea, Westminster",2020-12-08,2021-03-07,2nd dose,75-79,1176,50001,0.023519529609407813
Our Healthier South East London,"Bexley, Bromley, Greenwich, Lambeth, Lewisham, Southwark",2020-12-08,2021-03-07,2nd dose,75-79,1111,38296,0.02901086275329016
South West London Health and Care Partnership,"Croydon, Kingston upon Thames, Merton, Richmond upon Thames, Sutton, Wandsworth",2020-12-08,2021-03-07,2nd dose,75-79,663,35616,0.018615229110512128
East London Health and Care Partnership,"Barking and Dagenham, Hackney and City of London, Havering, Newham, Redbridge, Tower Hamlets, Waltham Forest",2020-12-08,2021-03-07,2nd dose,80+,9275,57517,0.16125667194046978
North London Partners in Health and Care,"Barnet, Camden, Enfield, Haringey, Islington",2020-12-08,2021-03-07,2nd dose,80+,11013,51226,0.21498848241127552
North West London Health and Care Partnership,"Brent, Ealing, Hammersmith and Fulham, Harrow, Hillingdon, Hounslow, Kensington and Chelsea, Westminster",2020-12-08,2021-03-07,2nd dose,80+,11326,77033,0.1470278971349941
Our Healthier South East London,"Bexley, Bromley, Greenwich, Lambeth, Lewisham, Southwark",2020-12-08,2021-03-07,2nd dose,80+,10988,60667,0.18111988395668155
South West London Health and Care Partnership,"Croydon, Kingston upon Thames, Merton, Richmond upon Thames, Sutton, Wandsworth",2020-12-08,2021-03-07,2nd dose,80+,10075,55290,0.18222101645867245
East London Health and Care Partnership,"Barking and Dagenham, Hackney and City of London, Havering, Newham, Redbridge, Tower Hamlets, Waltham Forest",2020-12-08,2021-03-07,2nd dose,Under 60,6323,1294191,0.0048856776163642
North London Partners in Health and Care,"Barnet, Camden, Enfield, Haringey, Islington",2020-12-08,2021-03-07,2nd dose,Under 60,7038,962364,0.0073132411436836785
North West London Health and Care Partnership,"Brent, Ealing, Hammersmith and Fulham, Harrow, Hillingdon, Hounslow, Kensington and Chelsea, Westminster",2020-12-08,2021-03-07,2nd dose,Under 60,9000,1295797,0.006945532363479773
Our Healthier South East London,"Bexley, Bromley, Greenwich, Lambeth, Lewisham, Southwark",2020-12-08,2021-03-07,2nd dose,Under 60,8065,1166587,0.006913329224481329
South West London Health and Care Partnership,"Croydon, Kingston upon Thames, Merton, Richmond upon Thames, Sutton, Wandsworth",2020-12-08,2021-03-07,2nd dose,Under 60,9207,926880,0.009933324702226826
East London Health and Care Partnership,"Barking and Dagenham, Hackney and City of London, Havering, Newham, Redbridge, Tower Hamlets, Waltham Forest",2020-12-08,2021-03-14,1st dose,55-59,50234,99417,0.505285816309082
North London Partners in Health and Care,"Barnet, Camden, Enfield, Haringey, Islington",2020-12-08,2021-03-14,1st dose,55-59,54049,81982,0.6592788660925569
North West London Health and Care Partnership,"Brent, Ealing, Hammersmith and Fulham, Harrow, Hillingdon, Hounslow, Kensington and Chelsea, Westminster",2020-12-08,2021-03-14,1st dose,55-59,78924,120946,0.6525556860086319
Our Healthier South East London,"Bexley, Bromley, Greenwich, Lambeth, Lewisham, Southwark",2020-12-08,2021-03-14,1st dose,55-59,60526,104934,0.5768006556502182
South West London Health and Care Partnership,"Croydon, Kingston upon Thames, Merton, Richmond upon Thames, Sutton, Wandsworth",2020-12-08,2021-03-14,1st dose,55-59,51687,88189,0.5860935037249544
East London Health and Care Partnership,"Barking and Dagenham, Hackney and City of London, Havering, Newham, Redbridge, Tower Hamlets, Waltham Forest",2020-12-08,2021-03-14,1st dose,60-64,59486,79241,0.7506972400651178
North London Partners in Health and Care,"Barnet, Camden, Enfield, Haringey, Islington",2020-12-08,2021-03-14,1st dose,60-64,52730,64335,0.8196160721224839
North West London Health and Care Partnership,"Brent, Ealing, Hammersmith and Fulham, Harrow, Hillingdon, Hounslow, Kensington and Chelsea, Westminster",2020-12-08,2021-03-14,1st dose,60-64,79657,99934,0.7970960834150539
Our Healthier South East London,"Bexley, Bromley, Greenwich, Lambeth, Lewisham, Southwark",2020-12-08,2021-03-14,1st dose,60-64,64820,78762,0.8229857037657754
South West London Health and Care Partnership,"Croydon, Kingston upon Thames, Merton, Richmond upon Thames, Sutton, Wandsworth",2020-12-08,2021-03-14,1st dose,60-64,57259,68802,0.8322287142815615
East London Health and Care Partnership,"Barking and Dagenham, Hackney and City of London, Havering, Newham, Redbridge, Tower Hamlets, Waltham Forest",2020-12-08,2021-03-14,1st dose,65-69,51166,62019,0.8250052403295765
North London Partners in Health and Care,"Barnet, Camden, Enfield, Haringey, Islington",2020-12-08,2021-03-14,1st dose,65-69,43857,52454,0.8361040149464293
North West London Health and Care Partnership,"Brent, Ealing, Hammersmith and Fulham, Harrow, Hillingdon, Hounslow, Kensington and Chelsea, Westminster",2020-12-08,2021-03-14,1st dose,65-69,67731,81945,0.8265421929342852
Our Healthier South East London,"Bexley, Bromley, Greenwich, Lambeth, Lewisham, Southwark",2020-12-08,2021-03-14,1st dose,65-69,53190,59879,0.888291387631724
South West London Health and Care Partnership,"Croydon, Kingston upon Thames, Merton, Richmond upon Thames, Sutton, Wandsworth",2020-12-08,2021-03-14,1st dose,65-69,49948,56629,0.8820215790496035
East London Health and Care Partnership,"Barking and Dagenham, Hackney and City of London, Havering, Newham, Redbridge, Tower Hamlets, Waltham Forest",2020-12-08,2021-03-14,1st dose,70-74,45117,51198,0.8812258291339505
North London Partners in Health and Care,"Barnet, Camden, Enfield, Haringey, Islington",2020-12-08,2021-03-14,1st dose,70-74,40230,46739,0.860737285778472
North West London Health and Care Partnership,"Brent, Ealing, Hammersmith and Fulham, Harrow, Hillingdon, Hounslow, Kensington and Chelsea, Westminster",2020-12-08,2021-03-14,1st dose,70-74,59950,69815,0.8586979875384946
Our Healthier South East London,"Bexley, Bromley, Greenwich, Lambeth, Lewisham, Southwark",2020-12-08,2021-03-14,1st dose,70-74,49994,54280,0.921039056742815
South West London Health and Care Partnership,"Croydon, Kingston upon Thames, Merton, Richmond upon Thames, Sutton, Wandsworth",2020-12-08,2021-03-14,1st dose,70-74,48817,51514,0.9476453003067128
East London Health and Care Partnership,"Barking and Dagenham, Hackney and City of London, Havering, Newham, Redbridge, Tower Hamlets, Waltham Forest",2020-12-08,2021-03-14,1st dose,75-79,31014,36008,0.8613085980893135
North London Partners in Health and Care,"Barnet, Camden, Enfield, Haringey, Islington",2020-12-08,2021-03-14,1st dose,75-79,29033,33389,0.8695378717541705
North West London Health and Care Partnership,"Brent, Ealing, Hammersmith and Fulham, Harrow, Hillingdon, Hounslow, Kensington and Chelsea, Westminster",2020-12-08,2021-03-14,1st dose,75-79,43630,50001,0.872582548349033
Our Healthier South East London,"Bexley, Bromley, Greenwich, Lambeth, Lewisham, Southwark",2020-12-08,2021-03-14,1st dose,75-79,35602,38296,0.9296532274911218
South West London Health and Care Partnership,"Croydon, Kingston upon Thames, Merton, Richmond upon Thames, Sutton, Wandsworth",2020-12-08,2021-03-14,1st dose,75-79,34149,35616,0.9588106469002695
East London Health and Care Partnership,"Barking and Dagenham, Hackney and City of London, Havering, Newham, Redbridge, Tower Hamlets, Waltham Forest",2020-12-08,2021-03-14,1st dose,80+,46205,57517,0.8033277118069441
North London Partners in Health and Care,"Barnet, Camden, Enfield, Haringey, Islington",2020-12-08,2021-03-14,1st dose,80+,42006,51226,0.8200132745090384
North West London Health and Care Partnership,"Brent, Ealing, Hammersmith and Fulham, Harrow, Hillingdon, Hounslow, Kensington and Chelsea, Westminster",2020-12-08,2021-03-14,1st dose,80+,63307,77033,0.8218166240442408
Our Healthier South East London,"Bexley, Bromley, Greenwich, Lambeth, Lewisham, Southwark",2020-12-08,2021-03-14,1st dose,80+,52428,60667,0.8641930538843193
South West London Health and Care Partnership,"Croydon, Kingston upon Thames, Merton, Richmond upon Thames, Sutton, Wandsworth",2020-12-08,2021-03-14,1st dose,80+,49376,55290,0.89303671550009045
East London Health and Care Partnership,"Barking and Dagenham, Hackney and City of London, Havering, Newham, Redbridge, Tower Hamlets, Waltham Forest",2020-12-08,2021-03-14,1st dose,Under 55,205905,1194774,0.17233803212992582
North London Partners in Health and Care,"Barnet, Camden, Enfield, Haringey, Islington",2020-12-08,2021-03-14,1st dose,Under 55,165096,880382,0.18752768684502863
North West London Health and Care Partnership,"Brent, Ealing, Hammersmith and Fulham, Harrow, Hillingdon, Hounslow, Kensington and Chelsea, Westminster",2020-12-08,2021-03-14,1st dose,Under 55,234045,1174851,0.1992124958824566
Our Healthier South East London,"Bexley, Bromley, Greenwich, Lambeth, Lewisham, Southwark",2020-12-08,2021-03-14,1st dose,Under 55,194579,1061653,0.18327928240206545
South West London Health and Care Partnership,"Croydon, Kingston upon Thames, Merton, Richmond upon Thames, Sutton, Wandsworth",2020-12-08,2021-03-14,1st dose,Under 55,162600,838691,0.19387354818401534
East London Health and Care Partnership,"Barking and Dagenham, Hackney and City of London, Havering, Newham, Redbridge, Tower Hamlets, Waltham Forest",2020-12-08,2021-03-14,2nd dose,55-59,1430,99417,0.01438385789150749
North London Partners in Health and Care,"Barnet, Camden, Enfield, Haringey, Islington",2020-12-08,2021-03-14,2nd dose,55-59,1518,81982,0.018516259666756116
North West London Health and Care Partnership,"Brent, Ealing, Hammersmith and Fulham, Harrow, Hillingdon, Hounslow, Kensington and Chelsea, Westminster",2020-12-08,2021-03-14,2nd dose,55-59,1952,120946,0.016139434127627205
Our Healthier South East London,"Bexley, Bromley, Greenwich, Lambeth, Lewisham, Southwark",2020-12-08,2021-03-14,2nd dose,55-59,1694,104934,0.016143480664036442
South West London Health and Care Partnership,"Croydon, Kingston upon Thames, Merton, Richmond upon Thames, Sutton, Wandsworth",2020-12-08,2021-03-14,2nd dose,55-59,2240,88189,0.025399993196430395
East London Health and Care Partnership,"Barking and Dagenham, Hackney and City of London, Havering, Newham, Redbridge, Tower Hamlets, Waltham Forest",2020-12-08,2021-03-14,2nd dose,60-64,1204,79241,0.015194154541209728
North London Partners in Health and Care,"Barnet, Camden, Enfield, Haringey, Islington",2020-12-08,2021-03-14,2nd dose,60-64,1222,64335,0.01899432657185047
North West London Health and Care Partnership,"Brent, Ealing, Hammersmith and Fulham, Harrow, Hillingdon, Hounslow, Kensington and Chelsea, Westminster",2020-12-08,2021-03-14,2nd dose,60-64,1693,99934,0.016941181179578522
Our Healthier South East London,"Bexley, Bromley, Greenwich, Lambeth, Lewisham, Southwark",2020-12-08,2021-03-14,2nd dose,60-64,1258,78762,0.01597216932023057
South West London Health and Care Partnership,"Croydon, Kingston upon Thames, Merton, Richmond upon Thames, Sutton, Wandsworth",2020-12-08,2021-03-14,2nd dose,60-64,1748,68802,0.025406238190750267
East London Health and Care Partnership,"Barking and Dagenham, Hackney and City of London, Havering, Newham, Redbridge, Tower Hamlets, Waltham Forest",2020-12-08,2021-03-14,2nd dose,65-69,672,62019,0.010835389154936391
North London Partners in Health and Care,"Barnet, Camden, Enfield, Haringey, Islington",2020-12-08,2021-03-14,2nd dose,65-69,841,52454,0.016033095664772942
North West London Health and Care Partnership,"Brent, Ealing, Hammersmith and Fulham, Harrow, Hillingdon, Hounslow, Kensington and Chelsea, Westminster",2020-12-08,2021-03-14,2nd dose,65-69,1313,81945,0.0160229422173409
Our Healthier South East London,"Bexley, Bromley, Greenwich, Lambeth, Lewisham, Southwark",2020-12-08,2021-03-14,2nd dose,65-69,722,59879,0.012057649593346582
South West London Health and Care Partnership,"Croydon, Kingston upon Thames, Merton, Richmond upon Thames, Sutton, Wandsworth",2020-12-08,2021-03-14,2nd dose,65-69,1040,56629,0.01836514859877448
East London Health and Care Partnership,"Barking and Dagenham, Hackney and City of London, Havering, Newham, Redbridge, Tower Hamlets, Waltham Forest",2020-12-08,2021-03-14,2nd dose,70-74,693,51198,0.013535684987694831
North London Partners in Health and Care,"Barnet, Camden, Enfield, Haringey, Islington",2020-12-08,2021-03-14,2nd dose,70-74,793,46739,0.016966558976443655
North West London Health and Care Partnership,"Brent, Ealing, Hammersmith and Fulham, Harrow, Hillingdon, Hounslow, Kensington and Chelsea, Westminster",2020-12-08,2021-03-14,2nd dose,70-74,2511,69815,0.035966482847525606
Our Healthier South East London,"Bexley, Bromley, Greenwich, Lambeth, Lewisham, Southwark",2020-12-08,2021-03-14,2nd dose,70-74,1259,54280,0.02319454679439941
South West London Health and Care Partnership,"Croydon, Kingston upon Thames, Merton, Richmond upon Thames, Sutton, Wandsworth",2020-12-08,2021-03-14,2nd dose,70-74,879,51514,0.01706332259191676
East London Health and Care Partnership,"Barking and Dagenham, Hackney and City of London, Havering, Newham, Redbridge, Tower Hamlets, Waltham Forest",2020-12-08,2021-03-14,2nd dose,75-79,706,36008,0.01960675405465452
North London Partners in Health and Care,"Barnet, Camden, Enfield, Haringey, Islington",2020-12-08,2021-03-14,2nd dose,75-79,1490,33389,0.0446254754559885
North West London Health and Care Partnership,"Brent, Ealing, Hammersmith and Fulham, Harrow, Hillingdon, Hounslow, Kensington and Chelsea, Westminster",2020-12-08,2021-03-14,2nd dose,75-79,1714,50001,0.03427931441371172
Our Healthier South East London,"Bexley, Bromley, Greenwich, Lambeth, Lewisham, Southwark",2020-12-08,2021-03-14,2nd dose,75-79,1666,38296,0.043503237936076876
South West London Health and Care Partnership,"Croydon, Kingston upon Thames, Merton, Richmond upon Thames, Sutton, Wandsworth",2020-12-08,2021-03-14,2nd dose,75-79,898,35616,0.025213387241689127
East London Health and Care Partnership,"Barking and Dagenham, Hackney and City of London, Havering, Newham, Redbridge, Tower Hamlets, Waltham Forest",2020-12-08,2021-03-14,2nd dose,80+,10955,57517,0.1904654276127058
North London Partners in Health and Care,"Barnet, Camden, Enfield, Haringey, Islington",2020-12-08,2021-03-14,2nd dose,80+,12828,51226,0.25041970874165465
North West London Health and Care Partnership,"Brent, Ealing, Hammersmith and Fulham, Harrow, Hillingdon, Hounslow, Kensington and Chelsea, Westminster",2020-12-08,2021-03-14,2nd dose,80+,12876,77033,0.1671491438734049
Our Healthier South East London,"Bexley, Bromley, Greenwich, Lambeth, Lewisham, Southwark",2020-12-08,2021-03-14,2nd dose,80+,12595,60667,0.2076087494024758
South West London Health and Care Partnership,"Croydon, Kingston upon Thames, Merton, Richmond upon Thames, Sutton, Wandsworth",2020-12-08,2021-03-14,2nd dose,80+,12659,55290,0.22895641164767588
East London Health and Care Partnership,"Barking and Dagenham, Hackney and City of London, Havering, Newham, Redbridge, Tower Hamlets, Waltham Forest",2020-12-08,2021-03-14,2nd dose,Under 55,9264,1194774,0.007753767658151249
North London Partners in Health and Care,"Barnet, Camden, Enfield, Haringey, Islington",2020-12-08,2021-03-14,2nd dose,Under 55,9817,880382,0.011150841339327701
North West London Health and Care Partnership,"Brent, Ealing, Hammersmith and Fulham, Harrow, Hillingdon, Hounslow, Kensington and Chelsea, Westminster",2020-12-08,2021-03-14,2nd dose,Under 55,12586,1174851,0.010712847841981664
Our Healthier South East London,"Bexley, Bromley, Greenwich, Lambeth, Lewisham, Southwark",2020-12-08,2021-03-14,2nd dose,Under 55,10423,1061653,0.009817708799391138
South West London Health and Care Partnership,"Croydon, Kingston upon Thames, Merton, Richmond upon Thames, Sutton, Wandsworth",2020-12-08,2021-03-14,2nd dose,Under 55,12817,838691,0.015282148013988466
East London Health and Care Partnership,"Barking and Dagenham, Hackney and City of London, Havering, Newham, Redbridge, Tower Hamlets, Waltham Forest",2020-12-08,2021-03-21,1st dose,50-54,63321,116131,0.5452549276248375
North London Partners in Health and Care,"Barnet, Camden, Enfield, Haringey, Islington",2020-12-08,2021-03-21,1st dose,50-54,59711,95929,0.622449936932523
North West London Health and Care Partnership,"Brent, Ealing, Hammersmith and Fulham, Harrow, Hillingdon, Hounslow, Kensington and Chelsea, Westminster",2020-12-08,2021-03-21,1st dose,50-54,85272,135394,0.6298063429694079
Our Healthier South East London,"Bexley, Bromley, Greenwich, Lambeth, Lewisham, Southwark",2020-12-08,2021-03-21,1st dose,50-54,72292,118762,0.6087132247688655
South West London Health and Care Partnership,"Croydon, Kingston upon Thames, Merton, Richmond upon Thames, Sutton, Wandsworth",2020-12-08,2021-03-21,1st dose,50-54,62961,100801,0.6246068987410839
East London Health and Care Partnership,"Barking and Dagenham, Hackney and City of London, Havering, Newham, Redbridge, Tower Hamlets, Waltham Forest",2020-12-08,2021-03-21,1st dose,55-59,71366,99417,0.7178450365631632
North London Partners in Health and Care,"Barnet, Camden, Enfield, Haringey, Islington",2020-12-08,2021-03-21,1st dose,55-59,63258,81982,0.7716084018443072
North West London Health and Care Partnership,"Brent, Ealing, Hammersmith and Fulham, Harrow, Hillingdon, Hounslow, Kensington and Chelsea, Westminster",2020-12-08,2021-03-21,1st dose,55-59,93873,120946,0.776156301159195
Our Healthier South East London,"Bexley, Bromley, Greenwich, Lambeth, Lewisham, Southwark",2020-12-08,2021-03-21,1st dose,55-59,79101,104934,0.7538166847732861
South West London Health and Care Partnership,"Croydon, Kingston upon Thames, Merton, Richmond upon Thames, Sutton, Wandsworth",2020-12-08,2021-03-21,1st dose,55-59,69125,88189,0.7838279150460942
East London Health and Care Partnership,"Barking and Dagenham, Hackney and City of London, Havering, Newham, Redbridge, Tower Hamlets, Waltham Forest",2020-12-08,2021-03-21,1st dose,60-64,65555,79241,0.8272863795257506
North London Partners in Health and Care,"Barnet, Camden, Enfield, Haringey, Islington",2020-12-08,2021-03-21,1st dose,60-64,54822,64335,0.8521333644206108
North West London Health and Care Partnership,"Brent, Ealing, Hammersmith and Fulham, Harrow, Hillingdon, Hounslow, Kensington and Chelsea, Westminster",2020-12-08,2021-03-21,1st dose,60-64,83064,99934,0.8311885844657474
Our Healthier South East London,"Bexley, Bromley, Greenwich, Lambeth, Lewisham, Southwark",2020-12-08,2021-03-21,1st dose,60-64,69940,78762,0.887991671110434
South West London Health and Care Partnership,"Croydon, Kingston upon Thames, Merton, Richmond upon Thames, Sutton, Wandsworth",2020-12-08,2021-03-21,1st dose,60-64,61245,68802,0.8901630766547484
East London Health and Care Partnership,"Barking and Dagenham, Hackney and City of London, Havering, Newham, Redbridge, Tower Hamlets, Waltham Forest",2020-12-08,2021-03-21,1st dose,65-69,52502,62019,0.8465470259114143
North London Partners in Health and Care,"Barnet, Camden, Enfield, Haringey, Islington",2020-12-08,2021-03-21,1st dose,65-69,44385,52454,0.8461699775040988
North West London Health and Care Partnership,"Brent, Ealing, Hammersmith and Fulham, Harrow, Hillingdon, Hounslow, Kensington and Chelsea, Westminster",2020-12-08,2021-03-21,1st dose,65-69,68603,81945,0.8371834767221917
Our Healthier South East London,"Bexley, Bromley, Greenwich, Lambeth, Lewisham, Southwark",2020-12-08,2021-03-21,1st dose,65-69,54003,59879,0.9018687686835117
South West London Health and Care Partnership,"Croydon, Kingston upon Thames, Merton, Richmond upon Thames, Sutton, Wandsworth",2020-12-08,2021-03-21,1st dose,65-69,50561,56629,0.8928464214448427
East London Health and Care Partnership,"Barking and Dagenham, Hackney and City of London, Havering, Newham, Redbridge, Tower Hamlets, Waltham Forest",2020-12-08,2021-03-21,1st dose,70-74,45394,51198,0.8866361967264347
North London Partners in Health and Care,"Barnet, Camden, Enfield, Haringey, Islington",2020-12-08,2021-03-21,1st dose,70-74,40445,46739,0.8653372986157171
North West London Health and Care Partnership,"Brent, Ealing, Hammersmith and Fulham, Harrow, Hillingdon, Hounslow, Kensington and Chelsea, Westminster",2020-12-08,2021-03-21,1st dose,70-74,60352,69815,0.8644560624507628
Our Healthier South East London,"Bexley, Bromley, Greenwich, Lambeth, Lewisham, Southwark",2020-12-08,2021-03-21,1st dose,70-74,50227,54280,0.9253316138540899
South West London Health and Care Partnership,"Croydon, Kingston upon Thames, Merton, Richmond upon Thames, Sutton, Wandsworth",2020-12-08,2021-03-21,1st dose,70-74,49036,51514,0.9518965718057227
East London Health and Care Partnership,"Barking and Dagenham, Hackney and City of London, Havering, Newham, Redbridge, Tower Hamlets, Waltham Forest",2020-12-08,2021-03-21,1st dose,75-79,31189,36008,0.8661686291935126
North London Partners in Health and Care,"Barnet, Camden, Enfield, Haringey, Islington",2020-12-08,2021-03-21,1st dose,75-79,29167,33389,0.8735511695468567
North West London Health and Care Partnership,"Brent, Ealing, Hammersmith and Fulham, Harrow, Hillingdon, Hounslow, Kensington and Chelsea, Westminster",2020-12-08,2021-03-21,1st dose,75-79,43832,50001,0.876622467550649
Our Healthier South East London,"Bexley, Bromley, Greenwich, Lambeth, Lewisham, Southwark",2020-12-08,2021-03-21,1st dose,75-79,35733,38296,0.9330739502820138
South West London Health and Care Partnership,"Croydon, Kingston upon Thames, Merton, Richmond upon Thames, Sutton, Wandsworth",2020-12-08,2021-03-21,1st dose,75-79,34267,35616,0.9621237646001797
East London Health and Care Partnership,"Barking and Dagenham, Hackney and City of London, Havering, Newham, Redbridge, Tower Hamlets, Waltham Forest",2020-12-08,2021-03-21,1st dose,80+,46361,57517,0.8060399534050803
North London Partners in Health and Care,"Barnet, Camden, Enfield, Haringey, Islington",2020-12-08,2021-03-21,1st dose,80+,42117,51226,0.8221801428961856
North West London Health and Care Partnership,"Brent, Ealing, Hammersmith and Fulham, Harrow, Hillingdon, Hounslow, Kensington and Chelsea, Westminster",2020-12-08,2021-03-21,1st dose,80+,63479,77033,0.8240494333597289
Our Healthier South East London,"Bexley, Bromley, Greenwich, Lambeth, Lewisham, Southwark",2020-12-08,2021-03-21,1st dose,80+,52586,60667,0.8667974351789276
South West London Health and Care Partnership,"Croydon, Kingston upon Thames, Merton, Richmond upon Thames, Sutton, Wandsworth",2020-12-08,2021-03-21,1st dose,80+,49420,55290,0.8938325194429373
East London Health and Care Partnership,"Barking and Dagenham, Hackney and City of London, Havering, Newham, Redbridge, Tower Hamlets, Waltham Forest",2020-12-08,2021-03-21,1st dose,Under 50,185209,1078643,0.1717055596708086
North London Partners in Health and Care,"Barnet, Camden, Enfield, Haringey, Islington",2020-12-08,2021-03-21,1st dose,Under 50,142745,784453,0.1819675621101583
North West London Health and Care Partnership,"Brent, Ealing, Hammersmith and Fulham, Harrow, Hillingdon, Hounslow, Kensington and Chelsea, Westminster",2020-12-08,2021-03-21,1st dose,Under 50,211485,1039457,0.20345718966729745
Our Healthier South East London,"Bexley, Bromley, Greenwich, Lambeth, Lewisham, Southwark",2020-12-08,2021-03-21,1st dose,Under 50,171457,942891,0.18184180355947824
South West London Health and Care Partnership,"Croydon, Kingston upon Thames, Merton, Richmond upon Thames, Sutton, Wandsworth",2020-12-08,2021-03-21,1st dose,Under 50,143422,737890,0.19436772418653187
East London Health and Care Partnership,"Barking and Dagenham, Hackney and City of London, Havering, Newham, Redbridge, Tower Hamlets, Waltham Forest",2020-12-08,2021-03-21,2nd dose,50-54,2373,116131,0.020433820426931655
North London Partners in Health and Care,"Barnet, Camden, Enfield, Haringey, Islington",2020-12-08,2021-03-21,2nd dose,50-54,2579,95929,0.026884466636783455
North West London Health and Care Partnership,"Brent, Ealing, Hammersmith and Fulham, Harrow, Hillingdon, Hounslow, Kensington and Chelsea, Westminster",2020-12-08,2021-03-21,2nd dose,50-54,3209,135394,0.023701197985139668
Our Healthier South East London,"Bexley, Bromley, Greenwich, Lambeth, Lewisham, Southwark",2020-12-08,2021-03-21,2nd dose,50-54,2503,118762,0.021075764975328808
South West London Health and Care Partnership,"Croydon, Kingston upon Thames, Merton, Richmond upon Thames, Sutton, Wandsworth",2020-12-08,2021-03-21,2nd dose,50-54,2978,100801,0.029543357704784674
East London Health and Care Partnership,"Barking and Dagenham, Hackney and City of London, Havering, Newham, Redbridge, Tower Hamlets, Waltham Forest",2020-12-08,2021-03-21,2nd dose,55-59,2140,99417,0.02152549362785037
North London Partners in Health and Care,"Barnet, Camden, Enfield, Haringey, Islington",2020-12-08,2021-03-21,2nd dose,55-59,2490,81982,0.030372520797248177
North West London Health and Care Partnership,"Brent, Ealing, Hammersmith and Fulham, Harrow, Hillingdon, Hounslow, Kensington and Chelsea, Westminster",2020-12-08,2021-03-21,2nd dose,55-59,3181,120946,0.026300993831958063
Our Healthier South East London,"Bexley, Bromley, Greenwich, Lambeth, Lewisham, Southwark",2020-12-08,2021-03-21,2nd dose,55-59,2491,104934,0.02373873101187413
South West London Health and Care Partnership,"Croydon, Kingston upon Thames, Merton, Richmond upon Thames, Sutton, Wandsworth",2020-12-08,2021-03-21,2nd dose,55-59,3090,88189,0.03503838347186157
East London Health and Care Partnership,"Barking and Dagenham, Hackney and City of London, Havering, Newham, Redbridge, Tower Hamlets, Waltham Forest",2020-12-08,2021-03-21,2nd dose,60-64,1763,79241,0.022248583435342816
North London Partners in Health and Care,"Barnet, Camden, Enfield, Haringey, Islington",2020-12-08,2021-03-21,2nd dose,60-64,1941,64335,0.030170202844485895
North West London Health and Care Partnership,"Brent, Ealing, Hammersmith and Fulham, Harrow, Hillingdon, Hounslow, Kensington and Chelsea, Westminster",2020-12-08,2021-03-21,2nd dose,60-64,2802,99934,0.02803850541357296
Our Healthier South East London,"Bexley, Bromley, Greenwich, Lambeth, Lewisham, Southwark",2020-12-08,2021-03-21,2nd dose,60-64,1861,78762,0.02362814555242376
South West London Health and Care Partnership,"Croydon, Kingston upon Thames, Merton, Richmond upon Thames, Sutton, Wandsworth",2020-12-08,2021-03-21,2nd dose,60-64,2313,68802,0.033618208773000785
East London Health and Care Partnership,"Barking and Dagenham, Hackney and City of London, Havering, Newham, Redbridge, Tower Hamlets, Waltham Forest",2020-12-08,2021-03-21,2nd dose,65-69,1015,62019,0.016365952369435173
North London Partners in Health and Care,"Barnet, Camden, Enfield, Haringey, Islington",2020-12-08,2021-03-21,2nd dose,65-69,1339,52454,0.02552712853166584
North West London Health and Care Partnership,"Brent, Ealing, Hammersmith and Fulham, Harrow, Hillingdon, Hounslow, Kensington and Chelsea, Westminster",2020-12-08,2021-03-21,2nd dose,65-69,2439,81945,0.029763866007688083
Our Healthier South East London,"Bexley, Bromley, Greenwich, Lambeth, Lewisham, Southwark",2020-12-08,2021-03-21,2nd dose,65-69,1067,59879,0.017819268858865377
South West London Health and Care Partnership,"Croydon, Kingston upon Thames, Merton, Richmond upon Thames, Sutton, Wandsworth",2020-12-08,2021-03-21,2nd dose,65-69,1401,56629,0.024739974218156775
East London Health and Care Partnership,"Barking and Dagenham, Hackney and City of London, Havering, Newham, Redbridge, Tower Hamlets, Waltham Forest",2020-12-08,2021-03-21,2nd dose,70-74,1024,51198,0.02000078128051877
North London Partners in Health and Care,"Barnet, Camden, Enfield, Haringey, Islington",2020-12-08,2021-03-21,2nd dose,70-74,1366,46739,0.029226128072915553
North West London Health and Care Partnership,"Brent, Ealing, Hammersmith and Fulham, Harrow, Hillingdon, Hounslow, Kensington and Chelsea, Westminster",2020-12-08,2021-03-21,2nd dose,70-74,3858,69815,0.055260330874453915
Our Healthier South East London,"Bexley, Bromley, Greenwich, Lambeth, Lewisham, Southwark",2020-12-08,2021-03-21,2nd dose,70-74,2347,54280,0.04323876197494473
South West London Health and Care Partnership,"Croydon, Kingston upon Thames, Merton, Richmond upon Thames, Sutton, Wandsworth",2020-12-08,2021-03-21,2nd dose,70-74,1353,51514,0.026264704740458906
